[23-Sep-2025 06:48:48 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 06:48:48 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 272] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:48:48 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 272] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:53:57 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 06:53:57 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 275] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:53:57 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 275] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:55:07 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 06:55:07 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 275] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:55:07 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 275] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:58:48 UTC] PHP Warning:  Undefined array key "load" in /Users/tusharkaw/Downloads/GnosPedia/includes/libs/rdbms/loadbalancer/LoadBalancer.php on line 177
[23-Sep-2025 06:58:48 UTC] PHP Warning:  Undefined array key "load" in /Users/tusharkaw/Downloads/GnosPedia/includes/libs/rdbms/loadbalancer/LoadBalancer.php on line 177
[23-Sep-2025 06:58:53 UTC] PHP Warning:  Undefined array key "load" in /Users/tusharkaw/Downloads/GnosPedia/includes/libs/rdbms/loadbalancer/LoadBalancer.php on line 177
[23-Sep-2025 06:59:37 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 06:59:37 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:59:37 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:59:45 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 06:59:45 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:59:45 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:59:50 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 06:59:50 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 06:59:50 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:02:02 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 07:02:02 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:02:02 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:02:09 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
